[Gradient Check] Epoch 24, Batch 1
[GRAD] backbone_layers.0.conv.weight: mean=0.000653, max=0.997946
[GRAD] backbone_layers.0.bn.weight: mean=0.001683, max=0.423068
[GRAD] backbone_layers.0.bn.bias: mean=-0.006895, max=0.204265
[GRAD] backbone_layers.1.conv.weight: mean=-0.003323, max=0.800660
[GRAD] backbone_layers.1.bn.weight: mean=-0.004684, max=0.192906
[GRAD] backbone_layers.1.bn.bias: mean=0.002322, max=0.055550
[GRAD] backbone_layers.2.cv1.conv.weight: mean=0.003330, max=0.513676
[GRAD] backbone_layers.2.cv1.bn.weight: mean=0.005293, max=0.155084
[GRAD] backbone_layers.2.cv1.bn.bias: mean=0.000941, max=0.057530
[GRAD] backbone_layers.2.cv2.conv.weight: mean=0.001091, max=0.349985
[GRAD] backbone_layers.2.cv2.bn.weight: mean=-0.000004, max=0.085791
[GRAD] backbone_layers.2.cv2.bn.bias: mean=-0.000992, max=0.047678
[GRAD] backbone_layers.2.m.0.cv1.conv.weight: mean=-0.009344, max=0.295526
[GRAD] backbone_layers.2.m.0.cv1.bn.weight: mean=-0.004324, max=0.127825
[GRAD] backbone_layers.2.m.0.cv1.bn.bias: mean=0.004859, max=0.032795
[GRAD] backbone_layers.2.m.0.cv2.conv.weight: mean=0.008802, max=0.160061
[GRAD] backbone_layers.2.m.0.cv2.bn.weight: mean=-0.007034, max=0.060891
[GRAD] backbone_layers.2.m.0.cv2.bn.bias: mean=-0.008678, max=0.035475
[GRAD] backbone_layers.3.conv.weight: mean=0.000229, max=0.184476
[GRAD] backbone_layers.3.bn.weight: mean=-0.000728, max=0.043728
[GRAD] backbone_layers.3.bn.bias: mean=0.000466, max=0.032291
[GRAD] backbone_layers.4.cv1.conv.weight: mean=0.002347, max=0.362804
[GRAD] backbone_layers.4.cv1.bn.weight: mean=0.002190, max=0.060133
[GRAD] backbone_layers.4.cv1.bn.bias: mean=0.000082, max=0.036347
[GRAD] backbone_layers.4.cv2.conv.weight: mean=-0.001285, max=0.107776
[GRAD] backbone_layers.4.cv2.bn.weight: mean=-0.002900, max=0.035204
[GRAD] backbone_layers.4.cv2.bn.bias: mean=-0.001779, max=0.019080
[GRAD] backbone_layers.4.m.0.cv1.conv.weight: mean=-0.000457, max=0.121250
[GRAD] backbone_layers.4.m.0.cv1.bn.weight: mean=-0.000377, max=0.044991
[GRAD] backbone_layers.4.m.0.cv1.bn.bias: mean=-0.001805, max=0.023942
[GRAD] backbone_layers.4.m.0.cv2.conv.weight: mean=0.000442, max=0.089205
[GRAD] backbone_layers.4.m.0.cv2.bn.weight: mean=-0.003230, max=0.028660
[GRAD] backbone_layers.4.m.0.cv2.bn.bias: mean=-0.003165, max=0.024451
[GRAD] backbone_layers.5.conv.weight: mean=-0.000107, max=0.094758
[GRAD] backbone_layers.5.bn.weight: mean=0.000095, max=0.030149
[GRAD] backbone_layers.5.bn.bias: mean=-0.000019, max=0.009937
[GRAD] backbone_layers.6.cv1.conv.weight: mean=0.000596, max=0.232099
[GRAD] backbone_layers.6.cv1.bn.weight: mean=-0.000636, max=0.056772
[GRAD] backbone_layers.6.cv1.bn.bias: mean=-0.000110, max=0.055879
[GRAD] backbone_layers.6.cv2.conv.weight: mean=0.000072, max=0.069274
[GRAD] backbone_layers.6.cv2.bn.weight: mean=0.000800, max=0.032166
[GRAD] backbone_layers.6.cv2.bn.bias: mean=0.000392, max=0.022388
[GRAD] backbone_layers.6.m.0.0.attn.qkv.conv.weight: mean=-0.000331, max=0.870060
[GRAD] backbone_layers.6.m.0.0.attn.qkv.bn.weight: mean=-0.000630, max=0.021988
[GRAD] backbone_layers.6.m.0.0.attn.qkv.bn.bias: mean=-0.000291, max=0.017289
[GRAD] backbone_layers.6.m.0.0.attn.proj.conv.weight: mean=0.000452, max=0.737964
[GRAD] backbone_layers.6.m.0.0.attn.proj.bn.weight: mean=0.001879, max=0.073324
[GRAD] backbone_layers.6.m.0.0.attn.proj.bn.bias: mean=0.000000, max=0.000002
[GRAD] backbone_layers.6.m.0.0.attn.pe.conv.weight: mean=-0.009546, max=0.390029
[GRAD] backbone_layers.6.m.0.0.attn.pe.bn.weight: mean=0.002928, max=0.062104
[GRAD] backbone_layers.6.m.0.0.attn.pe.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.6.m.0.0.mlp.0.conv.weight: mean=-0.000063, max=0.110755
[GRAD] backbone_layers.6.m.0.0.mlp.0.bn.weight: mean=0.000094, max=0.013076
[GRAD] backbone_layers.6.m.0.0.mlp.0.bn.bias: mean=0.000118, max=0.009711
[GRAD] backbone_layers.6.m.0.0.mlp.1.conv.weight: mean=-0.000499, max=0.197598
[GRAD] backbone_layers.6.m.0.0.mlp.1.bn.weight: mean=0.000229, max=0.017171
[GRAD] backbone_layers.6.m.0.0.mlp.1.bn.bias: mean=-0.000000, max=0.000002
[GRAD] backbone_layers.6.m.0.1.attn.qkv.conv.weight: mean=0.000078, max=0.136048
[GRAD] backbone_layers.6.m.0.1.attn.qkv.bn.weight: mean=-0.000016, max=0.010478
[GRAD] backbone_layers.6.m.0.1.attn.qkv.bn.bias: mean=-0.000121, max=0.010228
[GRAD] backbone_layers.6.m.0.1.attn.proj.conv.weight: mean=-0.000048, max=0.168652
[GRAD] backbone_layers.6.m.0.1.attn.proj.bn.weight: mean=0.000062, max=0.021258
[GRAD] backbone_layers.6.m.0.1.attn.proj.bn.bias: mean=-0.000000, max=0.000001
[GRAD] backbone_layers.6.m.0.1.attn.pe.conv.weight: mean=-0.002142, max=0.126104
[GRAD] backbone_layers.6.m.0.1.attn.pe.bn.weight: mean=0.000141, max=0.009113
[GRAD] backbone_layers.6.m.0.1.attn.pe.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.6.m.0.1.mlp.0.conv.weight: mean=0.000285, max=0.131769
[GRAD] backbone_layers.6.m.0.1.mlp.0.bn.weight: mean=0.000119, max=0.018528
[GRAD] backbone_layers.6.m.0.1.mlp.0.bn.bias: mean=-0.000053, max=0.007767
[GRAD] backbone_layers.6.m.0.1.mlp.1.conv.weight: mean=-0.000278, max=0.131641
[GRAD] backbone_layers.6.m.0.1.mlp.1.bn.weight: mean=-0.000486, max=0.005701
[GRAD] backbone_layers.6.m.0.1.mlp.1.bn.bias: mean=-0.000000, max=0.000001
[GRAD] backbone_layers.6.m.1.0.attn.qkv.conv.weight: mean=-0.000336, max=0.139867
[GRAD] backbone_layers.6.m.1.0.attn.qkv.bn.weight: mean=-0.000361, max=0.013350
[GRAD] backbone_layers.6.m.1.0.attn.qkv.bn.bias: mean=0.000095, max=0.006851
[GRAD] backbone_layers.6.m.1.0.attn.proj.conv.weight: mean=-0.000271, max=0.205812
[GRAD] backbone_layers.6.m.1.0.attn.proj.bn.weight: mean=-0.000949, max=0.008536
[GRAD] backbone_layers.6.m.1.0.attn.proj.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.6.m.1.0.attn.pe.conv.weight: mean=-0.000562, max=0.054641
[GRAD] backbone_layers.6.m.1.0.attn.pe.bn.weight: mean=0.001273, max=0.013437
[GRAD] backbone_layers.6.m.1.0.attn.pe.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.6.m.1.0.mlp.0.conv.weight: mean=0.000141, max=0.051153
[GRAD] backbone_layers.6.m.1.0.mlp.0.bn.weight: mean=0.000026, max=0.007789
[GRAD] backbone_layers.6.m.1.0.mlp.0.bn.bias: mean=0.000128, max=0.004162
[GRAD] backbone_layers.6.m.1.0.mlp.1.conv.weight: mean=-0.000077, max=0.095889
[GRAD] backbone_layers.6.m.1.0.mlp.1.bn.weight: mean=0.000604, max=0.009632
[GRAD] backbone_layers.6.m.1.0.mlp.1.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.6.m.1.1.attn.qkv.conv.weight: mean=0.000001, max=0.089807
[GRAD] backbone_layers.6.m.1.1.attn.qkv.bn.weight: mean=-0.000329, max=0.005801
[GRAD] backbone_layers.6.m.1.1.attn.qkv.bn.bias: mean=-0.000039, max=0.006235
[GRAD] backbone_layers.6.m.1.1.attn.proj.conv.weight: mean=0.000049, max=0.058667
[GRAD] backbone_layers.6.m.1.1.attn.proj.bn.weight: mean=-0.000674, max=0.005082
[GRAD] backbone_layers.6.m.1.1.attn.proj.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.6.m.1.1.attn.pe.conv.weight: mean=-0.000860, max=0.072422
[GRAD] backbone_layers.6.m.1.1.attn.pe.bn.weight: mean=0.000956, max=0.014621
[GRAD] backbone_layers.6.m.1.1.attn.pe.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.6.m.1.1.mlp.0.conv.weight: mean=0.000017, max=0.050150
[GRAD] backbone_layers.6.m.1.1.mlp.0.bn.weight: mean=-0.000025, max=0.004530
[GRAD] backbone_layers.6.m.1.1.mlp.0.bn.bias: mean=0.000120, max=0.003444
[GRAD] backbone_layers.6.m.1.1.mlp.1.conv.weight: mean=0.000072, max=0.032816
[GRAD] backbone_layers.6.m.1.1.mlp.1.bn.weight: mean=0.000086, max=0.003659
[GRAD] backbone_layers.6.m.1.1.mlp.1.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.7.conv.weight: mean=0.000107, max=0.008273
[GRAD] backbone_layers.7.bn.weight: mean=-0.000005, max=0.012378
[GRAD] backbone_layers.7.bn.bias: mean=0.000024, max=0.009411
[GRAD] backbone_layers.8.cv1.conv.weight: mean=0.000339, max=0.026072
[GRAD] backbone_layers.8.cv1.bn.weight: mean=0.000430, max=0.017352
[GRAD] backbone_layers.8.cv1.bn.bias: mean=0.000443, max=0.013076
[GRAD] backbone_layers.8.cv2.conv.weight: mean=0.000060, max=0.028926
[GRAD] backbone_layers.8.cv2.bn.weight: mean=-0.000483, max=0.009869
[GRAD] backbone_layers.8.cv2.bn.bias: mean=-0.000340, max=0.003732
[GRAD] backbone_layers.8.m.0.0.attn.qkv.conv.weight: mean=-0.000045, max=0.044848
[GRAD] backbone_layers.8.m.0.0.attn.qkv.bn.weight: mean=0.000146, max=0.006489
[GRAD] backbone_layers.8.m.0.0.attn.qkv.bn.bias: mean=-0.000114, max=0.032142
[GRAD] backbone_layers.8.m.0.0.attn.proj.conv.weight: mean=-0.000023, max=0.028530
[GRAD] backbone_layers.8.m.0.0.attn.proj.bn.weight: mean=-0.000022, max=0.007769
[GRAD] backbone_layers.8.m.0.0.attn.proj.bn.bias: mean=-0.000000, max=0.000002
[GRAD] backbone_layers.8.m.0.0.attn.pe.conv.weight: mean=0.001719, max=0.112759
